id,x,y,height_m,Lden,"Lr,Night"
R1,100.5,200.25,4,62.4,55.1
"R,2",1,2,3,60,50
"R""3",0.30000000000000004,2,3,60,50
" R4",1,2,3,60,50
R5 ,1,2,3,60,50
"R6
X",1,2,3,60,50
"R7X",1,2,3,60,50
"\.",1,2,3,60,50
" R9",1,2,3,60,50
"R10",1,2,3,60,50
﻿R11,1,2,3,60,50
R12,1000000000000000000000,0.0000001,-0,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005
